Symbol,CompanyID
BALMLAWRIE,385
ORIANA,1284432
PRAKASH,2532
ADVENZYMES,1273452
AARTIDRUGS,20
TEAMLEASE,1273242
SSWL,3196
MOSCHIP,2130
DCAL,1274141
VSTTILLERS,3712
KSL,1698
AJMERA,108
DALMIASUG,763
SIYSIL,3093
KIRLOSIND,1791
ORISSAMINE,2363
IRBINVIT,1274073
MEDIASSIST,1284633
DCXINDIA,1275347
63MOONS,1018
ARVSMART,1272994
PFOCUS,2564
GATEWAY,1275195
NOCIL,2289
CAMLINFINE,575
GUJTHEM,1257
CAPACITE,1274144
ARKADE,1284982
GLOBUSSPR,1154
PAISALO,2929
SUNDROP,93
SJS,1275092
SAGCEM,2834
DEEPINDS,1274867
RPEL,1273330
SINDHUTRAD,3083
WSTCSTPAPR,3747
DIAMONDYD,1274153
SHK,1273122
ALLCARGO,134
GIPCL,1236
SUVEN,3303
VISHNU,3686
AVANTEL,340
SERVOTECH,1274127
STYLAMIND,3219
GREENPANEL,1274706
SGLTL,1285221
JINDALPOLY,1623
DDEVPLSTIK,1275262
FCL,1021
KKCL,1757
RPSGVENT,1274616
PRINCEPIPE,1274719
MAITHANALL,1979
BFUTILITIE,439
UTKARSHBNK,1284416
BOMDYEING,529
BEPL,453
FUSION,1275354
INTERARCH,1284931
TAJGVK,3341
SDBL,3121
POKARNA,2501
SPECTRUM,1274564
MARINE,1274579
HPL,1273519
TCIEXP,1273600
MTNL,1963
QPOWER,1285329
ASHIANA,272
TIRUMALCHM,3415
KCP,1737
FLAIR,1284431
MANGCHEFER,1995
SOTL,2916
LAOPALA,1851
GENESYS,1119
BAJAJHIND,374
ALEMBICLTD,120
MARATHON,2006
KPEL,1273264
SBCL,2992
PRABHA,1285423
JTLIND,63890
PENIND,2451
VEEDOL,3418
KOLTEPATIL,1813
MUTHOOTMF,1284605
INDOTECH,1463
PSPPROJECT,1274075
ORIENTHOT,2360
HINDOILEXP,1346
GOODLUCK,1183
REPCOHOME,353946
AUTOAXLES,334
HUBTOWN,1376
SANGHVIMOV,2879
HATHWAY,1286
ADFFOODS,62
DCW,775
MONARCH,2243
DELTACORP,97569
CAPINVIT,1285226
PRECWIRE,2545
SULA,1275376
VENUSPIPES,1275226
WINDMACHIN,3757
NILKAMAL,2269
CENTUM,608
KRSNAA,1274906
BAJAJCON,370
VENKEYS,3630
SEAMECLTD,2931
SASKEN,2905
SENORES,1285204
FOSECOIND,1043
MBAPL,1273482
ZOTA,1274070
PREMEXPLN,2550
NUCLEUS,2308
HGS,1331
SMLISUZU,3105
RAMRAT,2652
TASTYBITE,3361
SANDHAR,1274309
XPROINDIA,3775
EVEREADY,971
SEPC,3045
JYOTISTRUC,1671
VIMTALABS,3661
AEROFLEX,1284464
SCILAL,1284727
LUMAXIND,1922
STYLEBAAZA,1284950
ANZEN,1275363
EIHAHOTELS,890
VPRPL,1284467
TVSSRICHAK,3503
PANAMAPET,2395
MANGLMCEM,1991
MAHLOG,1274191
POCL,2517
NRBBEARING,2300
JUBLCPL,1285333
PARAGMILK,1273362
ASALCBR,303
WEL,1274682
FINOPB,1274991
CARRARO,1285206
LAXMIDENTL,1285230
SUMMITSEC,3241
DOLLAR,1274061
RAJRATAN,2647
VIDHIING,3649
GEOJITFSL,1125
INDOCO,1274892
SMSPHARMA,3107
PFS,2588
MAYURUNIQ,2040
SAKSOFT,2845
HONDAPOWER,1365
WINDLAS,1274901
CANTABIL,580
INDIANHUME,1444
AGIIL,1270784
SPANDANA,1274685
JNKINDIA,1284760
INSECTICID,1502
CUPID,745
SHALBY,1274219
STOVEKRAFT,1274828
VSSL,5313
BAJEL,1284616
GOODYEAR,1185
RAMCOIND,2659
PIXTRANS,2490
ACCELYA,1688
NITINSPIN,2282
RELTD,2699
MOBIKWIK,1285186
INDOTHAI,1464
SANGAMIND,2874
YASHO,1274312
WENDT,3745
ALPEXSOLAR,1284662
JINDRILL,1620
TARSONS,1275103
KICL,1697
NOVARTIND,2297
FILATEX,1014
QUADFUTURE,1285218
NIBE,327304
UDS,1284513
EXICOM,1284694
GRMOVER,1212
IOLCP,1537
AMRUTANJAN,177
RPTECH,1284661
THEJO,1272810
HITECH,1273262
GTLINFRA,1219
FMGOETZE,1003
SPAL,1273461
BFINVEST,438
NELCO,2231
HLEGLAS,3323
KALAMANDIR,1275253
BETA,1274175
SOLARA,1274371
DANISH,1285133
RANEHOLDIN,2673
TFCILTD,3448
NIITLTD,2261
MOL,1274917
HIMATSEIDE,1323
BAJAJHCARE,1273348
SATIN,1272993
CARYSIL,52
CONFIPET,697
STEELCAS,3193
MANINDS,1985
STANLEY,1284815
HMT,1364
SOMANYCERA,3123
IKIO,1284374
SALZERELEC,2852
APOLLOPIPE,180
PNBGILTS,2497
LANDMARK,1275377
SANSTAR,1284857
SESHAPAPER,2945
MOTISONS,1284601
UGROCAP,645
CLSEL,619
IPL,1274881
SPIC,3136
KRISHANA,1273647
ARMANFIN,243
TATVA,1274895
WHEELS,3751
MOLDTKPAC,2113
SIMPLEXINF,3075
HINDWAREAP,1274717
MMFL,1932
TTKHLTCARE,3487
TINNARUBR,3427
HMAAGRO,1284380
GPTINFRA,1194
GEPIL,149
DREDGECORP,854
UNIVCABLES,3560
APCOTEXIND,212
VINDHYATEL,3664
SABTNL,3163
HESTERBIO,1309
JAGRAN,1567
IDEAFORGE,1284396
DLINKINDIA,756
JAICORPLTD,1572
SURAKSHA,1285177
ONEPOINT,1274224
UNITECH,3545
ICEMAKE,1274213
SYNCOMF,3328
ARIHANTSUP,240
QUICKHEAL,1273252
DEEDEV,1284811
NDRAUTO,1274767
TALBROAUTO,3345
SIRCA,1274355
UDAICEMENT,568157
SANGHIIND,2876
DCMSRIND,774
DEN,792
ADOR,75
COSMOFIRST,721
RAMASTEEL,1272988
GMBREW,1065
MASTERTR,2028
DOLPHIN,846
PARACABLES,2412
PRECAM,1273237
ESAFSFB,1284556
SALASAR,1274104
VERANDA,1275198
HIRECT,1326
DOLATALGO,843
DAMCAPITAL,1285200
RUPA,2808
JAGSNPHARM,1569
KMEW,1274846
SHANKARA,1273698
NAVKARCORP,1273002
ANDHRAPAP,187
ELECTHERM,906
GRPLTD,1251
AGARIND,88
TIL,3420
HUHTAMAKI,2407
GREENPOWER,2354
BLKASHYAP,354
RAMCOSYS,2660
ALLDIGI,138
IGARASHI,1397
UNIPARTS,1275368
GANDHAR,1284569
ORIENTTECH,1284927
DIVGIITTS,1284316
MUKANDLTD,2149
SIGACHI,1275090
SURAJEST,1284586
CIFL,473
ROTO,2785
PLATIND,1284697
BIRLANU,1377
ESFL,1284393
BSHSL,1274331
DSSL,864
GOCLCORP,1260
OMAXE,2329
AWHCL,1274824
MICEL,2073
GNA,1273506
ASTEC,306
CAPITALSFB,1284667
BLSE,1284654
INDNIPPON,1428
RAJRILTD,2632
EKC,973
ATULAUTO,318
SHRIRAMPPS,1275120
JGCHEM,1284705
SURYODAY,1274851
HEUBACHIND,670
YATRA,1284491
ANDREWYU,189
EXCELINDUS,979
SPMLINFRA,3154
MSPL,2143
TBZ,3469
KODYTECH,1284496
MADRASFERT,1948
EXPLEOSOL,3413
DYCL,1274216
GPTHEALTH,1284689
RIIL,2725
KERNEX,1752
WALCHANNAG,3723
SSEGL,1284872
IGPL,1379
ASIANENE,294
DREAMFOLKS,1275278
TEXINFRA,3401
IFGLEXPOR,1274196
BLISSGVS,507
SARTELE,1284548
BHARATWIRE,1273307
UNIECOM,1284886
MUFIN,1274696
PUNJABCHEM,2598
IMPAL,1427
DPSCLTD,849
SAHANA,1284373
DVL,823
VINCOFE,1270733
AYMSYNTEX,3743
OWAIS,1284693
RGL,2740
FAZE3Q,998
RMDRIP,1274154
HARIOMPIPE,1275206
MONTECARLO,1176414
THEMISMED,3411
IRMENERGY,1284537
GULPOLY,1261
ROSSTECH,1285189
BARBEQUE,1274859
GTPL,1274089
REMUS,1284364
ECOSMOBLTY,1284945
SMCGLOBAL,1274832
LINCOLN,1893
BOROSCI,1284806
AMNPLST,167
BUTTERFLY,561
SIGNPOST,1284684
ESTER,964
SHREDIGCEM,2999
SPORTKING,1272957
CHEMFAB,1274330
RML,2670
STERTOOLS,3207
CENTENKA,610
OSWALAGRO,2369
5PAISA,1274195
OMINFRAL,2327
AIMTRON,1284793
BCLIND,414
OAL,576
VHL,3609
DHANBANK,806
AVADHSUGAR,1274108
FAIRCHEMOR,1274823
CREST,2966
MATRIMONY,1274140
HITECHGEAR,1312
UTTAMSUGAR,3579
GKWLIMITED,1140
KRISHNADEF,1275194
ALICON,127
MVGJL,1284498
UNIENTER,3538
